State_CA,Total intl calls,Total night calls,State_AK,High_service_calls,State_MT,Area code,State_MI,State_MO,State_NC,State_AR,Day_usage_ratio,State_DC,State_SC,State_FL,Charge_per_minute,State_IL,State_KY,Total intl charge,State_VA,International plan,Customer service calls,Total day charge,Total_minutes,Total_charge
0.0,0.3997496267618755,0.24555318508685584,0.0,-0.8812869377601523,0.0,-0.4721943118152499,0.0,0.0,0.0,0.0,1.7788483789922225,0.0,0.0,0.0,1.648656824172367,0.0,0.0,-0.005722360334991192,0.0,-0.3314191088573093,-0.2680866261970203,1.6971057675810186,0.327800653411756,1.1147427541488215
0.0,0.7670284702032282,-1.4759142264935359,0.0,1.1347042117083506,1.0,-0.774104125217593,0.0,0.0,0.0,0.0,0.8582366609826679,0.0,0.0,0.0,0.42865214875059754,0.0,0.0,-0.045663805845375445,0.0,-0.3314191088573093,0.5270545466396656,1.1200013885191806,0.6599999600264261,0.7933879350320983
0.0,-0.024955936380371014,1.468448822522831,0.0,-0.8812869377601523,0.0,-0.4721943118152499,0.0,0.0,0.0,0.0,-0.2410765071548254,0.0,0.0,0.0,-0.3796737484879035,0.0,0.0,0.9925232055344789,0.0,-0.3314191088573093,-0.2680866261970203,-0.6594947062422668,-0.949364654223908,-0.9804640337838796
0.0,-1.1610149548472792,-1.1061061472534877,0.0,-0.8812869377601523,0.0,-0.774104125217593,0.0,0.0,0.0,0.0,-0.24510608830821481,0.0,0.0,0.0,-0.16508285492169752,0.0,0.0,0.43940669766036267,0.0,-0.3314191088573093,-0.2680866261970203,-0.18310083393844623,0.043804473598817235,-0.045976367470984415
0.0,-0.024955936380371014,0.7576433372168974,0.0,1.1347042117083506,0.0,-0.774104125217593,0.0,0.0,0.0,0.0,1.0134001422428016,0.0,0.0,0.0,0.988756073085441,0.0,0.0,0.548868786329227,0.0,-0.3314191088573093,1.5870122353810145,1.0816701517870109,0.37776817502524956,0.8254181967975766
0.0,0.7670284702032282,-0.3224592089226645,0.0,1.1347042117083506,0.0,-0.774104125217593,0.0,1.0,0.0,0.0,-2.2189065150822005,0.0,0.0,0.0,-1.992515571218759,0.0,0.0,-0.17815177967037943,0.0,-0.3314191088573093,0.5270545466396656,-2.455156995410767,-2.4579683342667953,-2.6818535559741745
0.0,0.7670284702032282,1.3673140547887155,0.0,-0.8812869377601523,0.0,-0.4721943118152499,0.0,0.0,1.0,0.0,0.1753894804087165,0.0,0.0,0.0,-0.13760858815429897,0.0,0.0,-1.4434249472290277,0.0,-0.3314191088573093,-0.2680866261970203,0.16135634045936456,0.020703373151234928,-0.05262647844199449
0.0,-0.024955936380371014,0.34828331015931047,0.0,1.1347042117083506,0.0,-0.4721943118152499,0.0,0.0,0.0,0.0,0.0905286494914784,0.0,0.0,0.0,0.2535379052884234,0.0,0.0,-0.7487517422821404,0.0,-0.3314191088573093,1.1157811294741997,-0.4756859742448441,-1.0482202889498298,-0.8192911189658229
0.0,0.3997496267618755,-0.5303464522551272,0.0,-0.8812869377601523,0.0,1.7166518353517373,0.0,0.0,0.0,0.0,-0.16965256705314846,0.0,0.0,0.0,0.04582434717455821,0.0,0.0,0.3985117878460033,0.0,-0.3314191088573093,-1.5387473688879436,0.2832829747644025,0.8778835926372976,0.7788365631449963
0.0,-0.5308106767876682,0.8596080460633557,0.0,-0.8812869377601523,0.0,-0.4721943118152499,0.0,0.0,0.0,0.0,0.843815862594875,0.0,0.0,0.0,0.7223404572666402,0.0,0.0,-0.07224167980862148,0.0,-0.3314191088573093,-0.2680866261970203,0.6355243973141878,-0.10770773695662898,0.23918147336174078
